Token ID,Gender,Skin Tone
1,Female,Medium
2,Male,Dark
3,Female,Light
4,Male,Dark
5,Male,Medium
6,Female,Medium
7,Male,Medium
8,Female,Medium
9,Male,Dark
10,Male,Medium
11,Female,Dark
12,Female,Medium
13,Female,Dark
14,Female,Light
15,Female,Dark
16,Male,Albino
17,Male,Medium
18,Male,Light
19,Male,Medium
20,Female,Dark
21,Male,Light
22,Male,Light
23,Female,Dark
24,Male,Light
25,Male,Light
26,Female,Dark
27,Female,Medium
28,Male,Light
29,Male,Dark
30,Female,Medium
31,Male,Dark
32,Female,Dark
33,Male,Light
34,Male,Light
35,Female,Light
36,Male,Dark
37,Female,Medium
38,Female,Dark
39,Female,Light
40,Male,Light
41,Male,Light
42,Male,Dark
43,Female,Dark
44,Female,Medium
45,Male,Light
46,Male,Medium
47,Female,Medium
48,Male,Dark
49,Male,Light
50,Female,Dark
51,Male,Medium
52,Male,Medium
53,Male,Dark
54,Female,Light
55,Male,Dark
56,Male,Light
57,Male,Dark
58,Male,Light
59,Male,Medium
60,Male,Albino
61,Female,Light
62,Female,Light
63,Female,Dark
64,Male,Dark
65,Female,Medium
66,Female,Medium
67,Female,Dark
68,Female,Dark
69,Male,Dark
70,Male,Medium
71,Female,Medium
72,Female,Light
73,Male,Dark
74,Female,Medium
75,Male,Dark
76,Male,Light
77,Male,Light
78,Male,Dark
79,Male,Medium
80,Male,Dark
81,Male,Albino
82,Male,Light
83,Male,Albino
84,Male,Light
85,Male,Light
86,Female,Dark
87,Female,Dark
88,Male,Light
89,Female,Light
90,Female,Dark
91,Male,Medium
92,Female,Light
93,Female,Light
94,Female,Light
95,Female,Dark
96,Male,Medium
97,Female,Light
98,Male,Medium
99,Female,Light
100,Male,Medium
101,Female,Medium
102,Male,Medium
103,Male,Medium
104,Female,Dark
105,Male,Dark
106,Male,Light
107,Female,Light
108,Male,Medium
109,Female,Light
110,Male,Dark
111,Female,Dark
112,Male,Dark
113,Male,Medium
