id,type,gender,skin tone,count,accessories
1, Human, Female, Medium,3, Green Eye Shadow / Earring / Blonde Bob
2, Human, Male, Dark,2, Smile / Mohawk
3, Human, Female, Light,1, Wild Hair
4, Human, Male, Dark,3, Wild Hair / Nerd Glasses / Pipe
5, Human, Male, Medium,4, Big Shades / Wild Hair / Earring / Goat
6, Human, Female, Medium,3, Purple Eye Shadow / Half Shaved / Earring
7, Human, Male, Medium,1, Do-rag
8, Human, Female, Medium,3, Wild White Hair / Spots / Clown Eyes Blue
9, Human, Male, Dark,2, Messy Hair / Luxurious Beard
10, Human, Male, Medium,3, Clown Nose / Police Cap / Big Beard
11, Human, Female, Dark,2, Blue Eye Shadow / Mohawk
12, Human, Female, Medium,3, Black Lipstick / Clown Eyes Green / Straight Hair Dark
13, Human, Female, Dark,2, Blonde Short / Purple Lipstick
14, Human, Female, Light,3, Big Shades / Black Lipstick / Straight Hair Blonde
15, Human, Female, Dark,3, Pipe / Pilot Helmet / Hot Lipstick
16, Human, Male, Albino,3, Luxurious Beard / Wild Hair / Regular Shades
17, Human, Male, Medium,3, Stringy Hair / Earring / Small Shades
18, Human, Male, Light,2, Frown / Mohawk
19, Human, Male, Medium,2, Eye Mask / Muttonchops
20, Human, Female, Dark,3, Bandana / Horned Rim Glasses / Hot Lipstick
21, Human, Male, Light,1, Crazy Hair
22, Human, Male, Light,3, Messy Hair / Classic Shades / Earring
23, Human, Female, Dark,2, Pilot Helmet / Purple Lipstick
24, Human, Male, Light,3, Handlebars / Earring / Do-rag
25, Human, Male, Light,2, Smile / Mohawk Dark
26, Human, Female, Dark,1, Wild White Hair
27, Human, Female, Medium,1, Dark Hair
28, Human, Male, Light,2, Peak Spike / Earring
29, Human, Male, Dark,2, Big Shades / Crazy Hair
30, Human, Female, Medium,3, Horned Rim Glasses / Half Shaved / Earring
31, Human, Male, Dark,2, Normal Beard Black / Cap
32, Human, Female, Dark,1, Stringy Hair
33, Human, Male, Light,2, Frown / VR
34, Human, Male, Light,1, Peak Spike
35, Human, Female, Light,2, Frumpy Hair / Purple Lipstick
36, Human, Male, Dark,5, Cigarette / Peak Spike / Earring / Horned Rim Glasses / Normal Beard
37, Human, Female, Medium,1, Red Mohawk
38, Human, Female, Dark,2, Cap / Clown Eyes Blue
39, Human, Female, Light,3, Frumpy Hair / Classic Shades / Purple Lipstick
40, Human, Male, Light,3, Frown / Shaved Head / Regular Shades
41, Human, Male, Light,3, Bandana / Chinstrap / Smile
42, Human, Male, Dark,3, Muttonchops / Wild Hair / Clown Eyes Green
43, Human, Female, Dark,2, Wild Hair / Cigarette
44, Human, Female, Medium,1, Half Shaved
45, Human, Male, Light,1, Messy Hair
46, Human, Male, Medium,2, Earring / Mole
47, Human, Female, Medium,2, Purple Lipstick / Straight Hair Dark
48, Human, Male, Dark,1, Knitted Cap
49, Human, Male, Light,2, Big Shades / Mohawk
50, Human, Female, Dark,2, Bandana / Purple Eye Shadow
51, Human, Male, Medium,2, Spots / Fedora
52, Human, Male, Medium,3, Muttonchops / Wild Hair / Earring
53, Human, Male, Dark,4, Shadow Beard / Earring / Nerd Glasses / Knitted Cap
54, Human, Female, Light,2, Big Shades / Straight Hair
55, Human, Male, Dark,1, Hoodie
56, Human, Male, Light,1, Eye Patch
57, Human, Male, Dark,1, Shaved Head
58, Human, Male, Light,1, Headband
59, Human, Male, Medium,2, Normal Beard Black / Hoodie
60, Human, Male, Albino,2, Muttonchops / Cowboy Hat
61, Human, Female, Light,2, Stringy Hair / Purple Lipstick
62, Human, Female, Light,1, Dark Hair
63, Human, Female, Dark,4, Hot Lipstick / Earring / Mohawk Dark / Clown Eyes Blue
64, Human, Male, Dark,3, Earring / Shaved Head / Small Shades
65, Human, Female, Medium,2, Straight Hair Blonde / Purple Lipstick
66, Human, Female, Medium,2, Eye Mask / Headband
67, Human, Female, Dark,1, Tassle Hat
68, Human, Female, Dark,3, Half Shaved / Purple Lipstick / 3D Glasses
69, Human, Male, Dark,2, Nerd Glasses / Do-rag
70, Human, Male, Medium,2, Normal Beard Black / Fedora
71, Human, Female, Medium,4, Crazy Hair / Regular Shades / Earring / Cigarette
72, Human, Female, Light,3, Green Eye Shadow / Half Shaved / Purple Lipstick
73, Human, Male, Dark,4, Fedora / Earring / Nerd Glasses / Normal Beard
74, Human, Female, Medium,3, Black Lipstick / Bandana / Earring
75, Human, Male, Dark,3, Shadow Beard / Earring / Mohawk Dark
76, Human, Male, Light,3, Shadow Beard / Knitted Cap / Eye Patch
77, Human, Male, Light,2, Cigarette / Do-rag
78, Human, Male, Dark,2, Stringy Hair / Handlebars
79, Human, Male, Medium,3, Handlebars / Knitted Cap / Eye Patch
80, Human, Male, Dark,2, Normal Beard / Mohawk Dark
81, Human, Male, Albino,2, Wild Hair / Mustache
82, Human, Male, Light,2, Headband / Small Shades
83, Human, Male, Albino,1, Headband
84, Human, Male, Light,3, Vape / Shaved Head / Small Shades
85, Human, Male, Light,3, Messy Hair / Big Shades / Earring
86, Human, Female, Dark,1, Crazy Hair
87, Human, Female, Dark,4, Knitted Cap / Green Eye Shadow / Hot Lipstick / Earring
88, Human, Male, Light,2, Hoodie / Earring
89, Human, Female, Light,2, Cap / Hot Lipstick
90, Human, Female, Dark,1, Choker
91, Human, Male, Medium,2, Hoodie / Eye Patch
92, Human, Female, Light,2, Clown Nose / Straight Hair
93, Human, Female, Light,3, Pink With Hat / Purple Lipstick / Nerd Glasses
94, Human, Female, Light,1, Bandana
95, Human, Female, Dark,3, Pink With Hat / Regular Shades / Earring
96, Human, Male, Medium,2, Earring / Mohawk
97, Human, Female, Light,1, Blonde Bob
98, Human, Male, Medium,1, Wild Hair
99, Human, Female, Light,3, Black Lipstick / Welding Goggles / Dark Hair
100, Human, Male, Medium,2, Cigarette / Hoodie
101, Human, Female, Medium,1, Tassle Hat
102, Human, Male, Medium,2, Police Cap / Nerd Glasses
103, Human, Male, Medium,2, Vampire Hair / Luxurious Beard
104, Human, Female, Dark,3, Black Lipstick / Green Eye Shadow / Blonde Bob
105, Human, Male, Dark,4, Normal Beard Black / Earring / Crazy Hair / Eye Patch
106, Human, Male, Light,1, Mohawk Thin
107, Human, Female, Light,1, Straight Hair Blonde
108, Human, Male, Medium,1, Headband
109, Human, Female, Light,2, Black Lipstick / Headband
110, Human, Male, Dark,3, Handlebars / Fedora / Earring
111, Human, Female, Dark,4, Purple Lipstick / Earring / Mohawk Dark / Cigarette
112, Human, Male, Dark,2, Handlebars / Knitted Cap
113, Human, Male, Medium,4, Bandana / Earring / Horned Rim Glasses / Big Beard
114, Human, Male, Albino,1, Mohawk
115, Human, Female, Dark,1, Red Mohawk
116, Human, Female, Dark,2, Half Shaved / Earring
117, Human, Female, Dark,4, Black Lipstick / Tiara / Earring / Clown Eyes Blue
118, Zombie, Male, ,2, Messy Hair / Front Beard Dark
119, Human, Female, Light,2, Black Lipstick / Bandana
120, Human, Male, Medium,2, Cap / Earring
121, Human, Female, Medium,2, Tassle Hat / Big Shades
122, Human, Female, Light,2, Tiara / Purple Lipstick
123, Human, Male, Light,2, Cigarette / Mohawk
124, Human, Female, Medium,2, Wild White Hair / Spots
125, Human, Male, Medium,3, Normal Beard Black / Peak Spike / Earring
126, Human, Female, Light,3, Tassle Hat / Big Shades / Purple Lipstick
127, Human, Male, Albino,4, Cigarette / Earring / Headband / Eye Patch
128, Human, Female, Medium,2, Clown Eyes Green / Stringy Hair
129, Human, Male, Light,4, Police Cap / Chinstrap / Vape / Mole
130, Human, Male, Light,4, Cigarette / Cap Forward / Gold Chain / Horned Rim Glasses
131, Human, Male, Light,1, Mohawk
132, Human, Female, Medium,2, Hot Lipstick / Straight Hair Dark
133, Human, Male, Dark,1, Mohawk Thin
134, Human, Male, Albino,3, Chinstrap / Purple Hair / Pipe
135, Human, Male, Medium,1, Police Cap
136, Human, Male, Light,1, Cap Forward
137, Human, Male, Dark,3, Shadow Beard / Shaved Head / Clown Eyes Green
138, Human, Male, Dark,1, Messy Hair
139, Human, Male, Light,2, Stringy Hair / Horned Rim Glasses
140, Human, Male, Medium,2, Do-rag / Eye Patch
141, Human, Female, Dark,1, Hot Lipstick
142, Human, Male, Dark,3, Chinstrap / Headband / 3D Glasses
143, Human, Male, Light,2, Mohawk / Regular Shades
144, Human, Male, Light,2, Beanie / Horned Rim Glasses
145, Human, Male, Dark,3, Cigarette / Frumpy Hair / Luxurious Beard
146, Human, Male, Light,1, Wild Hair
147, Human, Male, Light,2, Earring / Mohawk
148, Human, Male, Albino,2, Mohawk Thin / Regular Shades
149, Human, Male, Medium,1, Hoodie
150, Human, Male, Light,3, Messy Hair / Luxurious Beard / Big Shades
151, Human, Female, Medium,2, Purple Lipstick / Earring
152, Human, Male, Medium,2, Stringy Hair / VR
153, Human, Male, Light,2, Clown Eyes Green / Mohawk Dark
154, Human, Male, Medium,3, Eye Mask / Cap / Earring
155, Human, Male, Dark,3, Hoodie / Shadow Beard / Earring
156, Human, Male, Dark,2, Clown Nose / Clown Hair Green
157, Human, Male, Dark,2, Cap Forward / Small Shades
158, Human, Male, Medium,2, Cigarette / Cap
159, Human, Male, Light,3, Wild Hair / Goat / Regular Shades
160, Human, Male, Light,2, Stringy Hair / Earring
161, Human, Female, Medium,3, Pigtails / Purple Lipstick / Clown Eyes Blue
162, Human, Female, Dark,2, Hot Lipstick / Frumpy Hair
163, Human, Male, Medium,3, Frumpy Hair / Normal Beard Black / Horned Rim Glasses
164, Human, Male, Dark,2, Shaved Head / Eye Patch
165, Human, Female, Medium,2, Stringy Hair / VR
166, Human, Male, Medium,3, Cigarette / Front Beard Dark / Mohawk Dark
167, Human, Male, Dark,2, Shaved Head / Regular Shades
168, Human, Female, Medium,2, Headband / Hot Lipstick
169, Human, Female, Light,3, Blue Eye Shadow / Silver Chain / Blonde Bob
170, Human, Female, Medium,3, Wild White Hair / Hot Lipstick / Regular Shades
171, Human, Male, Light,3, Peak Spike / Classic Shades / Mole
172, Human, Male, Medium,3, Stringy Hair / Earring / Mole
173, Human, Female, Medium,3, Purple Lipstick / Blonde Bob / 3D Glasses
174, Human, Female, Dark,5, Mole / Pipe / Messy Hair / Hot Lipstick / Clown Eyes Blue
175, Human, Male, Dark,3, Wild Hair / Earring / Horned Rim Glasses
176, Human, Male, Medium,2, Cap / Big Shades
177, Human, Female, Dark,4, Regular Shades / Wild Hair / Purple Lipstick / Earring
178, Human, Male, Dark,2, Bandana / Luxurious Beard
179, Human, Male, Medium,1, Fedora
180, Human, Male, Albino,3, Mohawk Thin / Shadow Beard / Classic Shades
181, Human, Female, Dark,2, Pilot Helmet / Hot Lipstick
182, Human, Male, Dark,1, Mohawk
183, Human, Male, Albino,1, Peak Spike
184, Human, Male, Light,1, Shadow Beard
185, Human, Female, Dark,2, Green Eye Shadow / Blonde Bob
186, Human, Female, Light,2, Wild White Hair / Hot Lipstick
187, Human, Male, Dark,2, Mustache / Crazy Hair
188, Human, Female, Light,1, Straight Hair
189, Human, Male, Dark,3, Peak Spike / Earring / Nerd Glasses
190, Human, Female, Light,2, Mohawk Thin / Purple Lipstick
191, Human, Male, Dark,1, Headband
192, Human, Female, Dark,1, Mohawk
193, Human, Male, Medium,4, Clown Nose / Mohawk Thin / Earring / Nerd Glasses
194, Human, Female, Light,3, Tassle Hat / Green Eye Shadow / Earring
195, Human, Male, Light,2, Wild Hair / Clown Eyes Green
196, Human, Female, Light,2, Straight Hair Blonde / Nerd Glasses
197, Human, Female, Light,3, Tassle Hat / Big Shades / Hot Lipstick
198, Human, Male, Dark,2, Frumpy Hair / Eye Patch
199, Human, Male, Medium,2, Beanie / Luxurious Beard
200, Human, Female, Light,2, Blonde Short / Classic Shades
201, Human, Female, Dark,1, Wild Hair
202, Human, Female, Medium,4, Blue Eye Shadow / Hot Lipstick / Dark Hair / Cigarette
203, Human, Female, Light,3, Headband / Purple Lipstick / Earring
204, Human, Male, Light,3, Front Beard / Messy Hair / Regular Shades
205, Human, Male, Medium,2, Crazy Hair / Regular Shades
206, Human, Male, Medium,3, Normal Beard Black / Big Shades / Mohawk Dark
207, Human, Male, Light,3, Cigarette / Clown Nose / Cap Forward
208, Human, Male, Light,3, Peak Spike / Pipe / Eye Patch
209, Human, Male, Medium,3, Earring / Shaved Head / 3D Glasses
210, Human, Female, Dark,2, Hot Lipstick / Stringy Hair
211, Human, Female, Medium,2, Earring / Straight Hair Dark
212, Human, Male, Dark,2, Mohawk Thin / Goat
213, Human, Female, Dark,2, Crazy Hair / Hot Lipstick
214, Human, Female, Medium,1, Crazy Hair
215, Human, Male, Dark,2, Front Beard Dark / Mohawk
216, Human, Female, Medium,1, Mohawk
217, Human, Male, Medium,1, Bandana
218, Human, Male, Medium,3, Chinstrap / Earring / Mohawk Dark
219, Human, Male, Light,4, Cap / Handlebars / Regular Shades / Mole
220, Human, Female, Dark,4, Bandana / Rosy Cheeks / Earring / Clown Eyes Blue
221, Human, Male, Albino,2, Big Shades / Headband
222, Human, Male, Dark,4, Stringy Hair / Cigarette / Muttonchops / Classic Shades
223, Human, Male, Light,3, Pipe / Do-rag / Small Shades
224, Human, Male, Light,3, Nerd Glasses / Normal Beard / Crazy Hair
225, Human, Male, Light,4, Cigarette / Earring / Nerd Glasses / Headband
226, Human, Female, Medium,3, Orange Side / Hot Lipstick / Earring
227, Human, Female, Medium,1, Hot Lipstick
228, Human, Female, Medium,1, Wild White Hair
229, Human, Male, Medium,2, Peak Spike / Small Shades
230, Human, Male, Light,2, Cigarette / Messy Hair
231, Human, Male, Dark,2, Luxurious Beard / Knitted Cap
232, Human, Female, Medium,3, Pipe / Stringy Hair / Earring
233, Human, Female, Dark,2, Blue Eye Shadow / Wild Hair
234, Human, Female, Albino,2, Bandana / Hot Lipstick
235, Human, Male, Light,2, Nerd Glasses / Knitted Cap
236, Human, Male, Light,2, Cigarette / Frumpy Hair
237, Human, Male, Light,2, Vampire Hair / Muttonchops
238, Human, Male, Dark,2, Mohawk / Regular Shades
239, Human, Female, Medium,2, Clown Eyes Green / Straight Hair Dark
240, Human, Male, Dark,3, Frown / Goat / Mohawk
241, Human, Female, Medium,2, Big Shades / Straight Hair Blonde
242, Human, Female, Light,1, Wild Blonde
243, Human, Female, Dark,2, Black Lipstick / Stringy Hair
244, Human, Male, Light,4, Cigarette / Front Beard / Police Cap / Earring
245, Human, Female, Light,3, Regular Shades / Wild Hair / Purple Lipstick
246, Human, Female, Dark,1, Dark Hair
247, Human, Male, Albino,3, Bandana / Luxurious Beard / Earring
248, Human, Female, Dark,2, Green Eye Shadow / Mohawk Dark
249, Human, Female, Dark,2, Messy Hair / Purple Eye Shadow
250, Human, Female, Light,1, Orange Side
251, Human, Female, Medium,3, Clown Eyes Green / Frumpy Hair / Earring
252, Human, Female, Light,2, Green Eye Shadow / Mohawk Dark
253, Human, Male, Albino,2, Cap Forward / Mole
254, Human, Female, Dark,2, Clown Eyes Green / Blonde Short
255, Human, Male, Light,1, Fedora
256, Human, Male, Light,2, Mustache / Shaved Head
257, Human, Male, Dark,4, Fedora / Vape / Earring / Eye Patch
258, Human, Male, Light,2, Cap / Frown
259, Human, Male, Medium,2, Cap Forward / Handlebars
260, Human, Male, Light,3, Eye Mask / Cap Forward / Earring
